# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	27991	28707	-	KAG5488081.1			hypothetical protein			LSCM1_08145	717	238	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	29805	30623	-							LSCM1_08146	819		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	29805	30623	-			KAG5488082.1	hypothetical protein			LSCM1_08146	819		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	29805	30623	-	KAG5488082.1			hypothetical protein			LSCM1_08146	819	272	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	31386	32447	-							LSCM1_08147	1062		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	31386	32447	-			KAG5488083.1	hypothetical protein			LSCM1_08147	1062		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	31386	32447	-	KAG5488083.1			hypothetical protein			LSCM1_08147	1062	353	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	33548	34150	-							LSCM1_08148	603		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	33548	34150	-			KAG5488084.1	hypothetical protein			LSCM1_08148	603		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	33548	34150	-	KAG5488084.1			hypothetical protein			LSCM1_08148	603	200	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	35462	37504	-							LSCM1_08149	2043		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	35462	37504	-			KAG5488085.1	hypothetical protein			LSCM1_08149	2043		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	35462	37504	-	KAG5488085.1			hypothetical protein			LSCM1_08149	2043	680	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	38757	39968	-							LSCM1_08150	1212		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	38757	39968	-			KAG5488086.1	hypothetical protein			LSCM1_08150	1212		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	38757	39968	-	KAG5488086.1			hypothetical protein			LSCM1_08150	1212	403	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	40933	41181	-							LSCM1_08151	249		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	40933	41181	-			KAG5488087.1	hypothetical protein			LSCM1_08151	249		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	40933	41181	-	KAG5488087.1			hypothetical protein			LSCM1_08151	249	82	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	41879	42229	-							LSCM1_08152	351		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	41879	42229	-			KAG5488088.1	hypothetical protein			LSCM1_08152	351		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	41879	42229	-	KAG5488088.1			hypothetical protein			LSCM1_08152	351	116	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	43069	43311	-							LSCM1_08153	243		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	43069	43311	-			KAG5488089.1	hypothetical protein			LSCM1_08153	243		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	43069	43311	-	KAG5488089.1			hypothetical protein			LSCM1_08153	243	80	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	44552	45898	-							LSCM1_08154	1347		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	44552	45898	-			KAG5488090.1	hypothetical protein			LSCM1_08154	1347		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	44552	45898	-	KAG5488090.1			hypothetical protein			LSCM1_08154	1347	448	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	46994	49363	-							LSCM1_08155	2370		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	46994	49363	-			KAG5488091.1	hypothetical protein			LSCM1_08155	2370		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	46994	49363	-	KAG5488091.1			hypothetical protein			LSCM1_08155	2370	789	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	50308	50898	-							LSCM1_08156	591		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	50308	50898	-			KAG5488092.1	hypothetical protein			LSCM1_08156	591		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	50308	50898	-	KAG5488092.1			hypothetical protein			LSCM1_08156	591	196	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	51717	52526	-							LSCM1_08157	810		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	51717	52526	-			KAG5488093.1	hypothetical protein			LSCM1_08157	810		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	51717	52526	-	KAG5488093.1			hypothetical protein			LSCM1_08157	810	269	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	53320	56043	-							LSCM1_08158	2724		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	53320	56043	-			KAG5488094.1	hypothetical protein			LSCM1_08158	2724		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	53320	56043	-	KAG5488094.1			hypothetical protein			LSCM1_08158	2724	907	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	59368	60384	-							LSCM1_08159	1017		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	59368	60384	-			KAG5488095.1	hypothetical protein			LSCM1_08159	1017		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	59368	60384	-	KAG5488095.1			hypothetical protein			LSCM1_08159	1017	338	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	63150	63578	-							LSCM1_08160	429		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	63150	63578	-			KAG5488096.1	hypothetical protein			LSCM1_08160	429		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	63150	63578	-	KAG5488096.1			hypothetical protein			LSCM1_08160	429	142	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	64449	67331	-							LSCM1_08161	2883		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	64449	67331	-			KAG5488097.1	hypothetical protein			LSCM1_08161	2883		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	64449	67331	-	KAG5488097.1			hypothetical protein			LSCM1_08161	2883	960	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	68183	70699	-							LSCM1_08162	2517		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	68183	70699	-			KAG5488098.1	hypothetical protein			LSCM1_08162	2517		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	68183	70699	-	KAG5488098.1			hypothetical protein			LSCM1_08162	2517	838	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	74370	74693	-							LSCM1_08164	324		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	74370	74693	-			KAG5488099.1	hypothetical protein			LSCM1_08164	324		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	74370	74693	-	KAG5488099.1			hypothetical protein			LSCM1_08164	324	107	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	76143	77390	-							LSCM1_08165	1248		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	76143	77390	-			KAG5488100.1	hypothetical protein			LSCM1_08165	1248		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	76143	77390	-	KAG5488100.1			hypothetical protein			LSCM1_08165	1248	415	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	79028	79540	-							LSCM1_08166	513		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	79028	79540	-			KAG5488101.1	hypothetical protein			LSCM1_08166	513		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	79028	79540	-	KAG5488101.1			hypothetical protein			LSCM1_08166	513	170	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	80446	80625	-							LSCM1_08167	180		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	80446	80625	-			KAG5488102.1	hypothetical protein			LSCM1_08167	180		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	80446	80625	-	KAG5488102.1			hypothetical protein			LSCM1_08167	180	59	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	81182	82345	-							LSCM1_08168	1164		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	81182	82345	-			KAG5488103.1	hypothetical protein			LSCM1_08168	1164		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	81182	82345	-	KAG5488103.1			hypothetical protein			LSCM1_08168	1164	387	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	82682	83125	-							LSCM1_08169	444		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	82682	83125	-			KAG5488104.1	hypothetical protein			LSCM1_08169	444		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	82682	83125	-	KAG5488104.1			hypothetical protein			LSCM1_08169	444	147	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	84008	85027	+							LSCM1_08170	1020		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	84008	85027	+			KAG5488105.1	hypothetical protein			LSCM1_08170	1020		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	84008	85027	+	KAG5488105.1			hypothetical protein			LSCM1_08170	1020	339	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	85480	86112	+							LSCM1_08171	633		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	85480	86112	+			KAG5488106.1	hypothetical protein			LSCM1_08171	633		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	85480	86112	+	KAG5488106.1			hypothetical protein			LSCM1_08171	633	210	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	86669	86962	+							LSCM1_08172	294		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	86669	86962	+			KAG5488107.1	hypothetical protein			LSCM1_08172	294		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	86669	86962	+	KAG5488107.1			hypothetical protein			LSCM1_08172	294	97	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	87920	88696	+							LSCM1_08173	777		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	87920	88696	+			KAG5488108.1	hypothetical protein			LSCM1_08173	777		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	87920	88696	+	KAG5488108.1			hypothetical protein			LSCM1_08173	777	258	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	90145	92379	+							LSCM1_08174	2235		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	90145	92379	+			KAG5488109.1	hypothetical protein			LSCM1_08174	2235		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	90145	92379	+	KAG5488109.1			hypothetical protein			LSCM1_08174	2235	744	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	93138	93716	+							LSCM1_08175	579		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	93138	93716	+			KAG5488110.1	hypothetical protein			LSCM1_08175	579		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	93138	93716	+	KAG5488110.1			hypothetical protein			LSCM1_08175	579	192	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	94607	95179	+							LSCM1_08176	573		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	94607	95179	+			KAG5488111.1	hypothetical protein			LSCM1_08176	573		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	94607	95179	+	KAG5488111.1			hypothetical protein			LSCM1_08176	573	190	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	96824	99337	+							LSCM1_08177	2514		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	96824	99337	+			KAG5488112.1	hypothetical protein			LSCM1_08177	2514		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	96824	99337	+	KAG5488112.1			hypothetical protein			LSCM1_08177	2514	837	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	100129	102600	+							LSCM1_08178	2472		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	100129	102600	+			KAG5488113.1	hypothetical protein			LSCM1_08178	2472		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	100129	102600	+	KAG5488113.1			hypothetical protein			LSCM1_08178	2472	823	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	103384	105078	+							LSCM1_08179	1695		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	103384	105078	+			KAG5488114.1	hypothetical protein			LSCM1_08179	1695		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	103384	105078	+	KAG5488114.1			hypothetical protein			LSCM1_08179	1695	564	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	105581	106183	+							LSCM1_08180	603		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	105581	106183	+			KAG5488115.1	hypothetical protein			LSCM1_08180	603		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	105581	106183	+	KAG5488115.1			hypothetical protein			LSCM1_08180	603	200	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	107496	108098	+							LSCM1_08181	603		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	107496	108098	+			KAG5488116.1	hypothetical protein			LSCM1_08181	603		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	107496	108098	+	KAG5488116.1			hypothetical protein			LSCM1_08181	603	200	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	109171	111522	+							LSCM1_08182	2352		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	109171	111522	+			KAG5488117.1	hypothetical protein			LSCM1_08182	2352		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	109171	111522	+	KAG5488117.1			hypothetical protein			LSCM1_08182	2352	783	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	112433	114193	+							LSCM1_08183	1761		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	112433	114193	+			KAG5488118.1	hypothetical protein			LSCM1_08183	1761		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	112433	114193	+	KAG5488118.1			hypothetical protein			LSCM1_08183	1761	586	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	116443	117117	+							LSCM1_08185	675		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	116443	117117	+			KAG5488119.1	hypothetical protein			LSCM1_08185	675		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	116443	117117	+	KAG5488119.1			hypothetical protein			LSCM1_08185	675	224	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	118920	123548	+							LSCM1_08186	4629		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	118920	123548	+			KAG5488120.1	hypothetical protein			LSCM1_08186	4629		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	118920	123548	+	KAG5488120.1			hypothetical protein			LSCM1_08186	4629	1542	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	127472	129562	+							LSCM1_08187	2091		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	127472	129562	+			KAG5488121.1	hypothetical protein			LSCM1_08187	2091		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	127472	129562	+	KAG5488121.1			hypothetical protein			LSCM1_08187	2091	696	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	130692	131657	+							LSCM1_08188	966		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	130692	131657	+			KAG5488122.1	hypothetical protein			LSCM1_08188	966		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	130692	131657	+	KAG5488122.1			hypothetical protein			LSCM1_08188	966	321	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	132620	134716	+							LSCM1_08189	2097		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	132620	134716	+			KAG5488123.1	hypothetical protein			LSCM1_08189	2097		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	132620	134716	+	KAG5488123.1			hypothetical protein			LSCM1_08189	2097	698	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	137745	139886	+							LSCM1_08190	2142		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	137745	139886	+			KAG5488124.1	hypothetical protein			LSCM1_08190	2142		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	137745	139886	+	KAG5488124.1			hypothetical protein			LSCM1_08190	2142	713	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	143350	147789	+							LSCM1_08191	4440		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	143350	147789	+			KAG5488125.1	hypothetical protein			LSCM1_08191	4440		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	143350	147789	+	KAG5488125.1			hypothetical protein			LSCM1_08191	4440	1479	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	148659	150797	+							LSCM1_08192	2139		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	148659	150797	+			KAG5488126.1	hypothetical protein			LSCM1_08192	2139		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	148659	150797	+	KAG5488126.1			hypothetical protein			LSCM1_08192	2139	712	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	152735	153817	+							LSCM1_08193	1083		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	152735	153817	+			KAG5488127.1	hypothetical protein			LSCM1_08193	1083		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	152735	153817	+	KAG5488127.1			hypothetical protein			LSCM1_08193	1083	360	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	154895	156715	+							LSCM1_08194	1821		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	154895	156715	+			KAG5488128.1	hypothetical protein			LSCM1_08194	1821		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	154895	156715	+	KAG5488128.1			hypothetical protein			LSCM1_08194	1821	606	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	157185	158165	+							LSCM1_08195	981		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	157185	158165	+			KAG5488129.1	hypothetical protein			LSCM1_08195	981		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	157185	158165	+	KAG5488129.1			hypothetical protein			LSCM1_08195	981	326	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	159056	162112	+							LSCM1_08196	3057		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	159056	162112	+			KAG5488130.1	hypothetical protein			LSCM1_08196	3057		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	159056	162112	+	KAG5488130.1			hypothetical protein			LSCM1_08196	3057	1018	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	162853	164328	+							LSCM1_08197	1476		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	162853	164328	+			KAG5488131.1	hypothetical protein			LSCM1_08197	1476		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	162853	164328	+	KAG5488131.1			hypothetical protein			LSCM1_08197	1476	491	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	171446	172624	+							LSCM1_08199	1179		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	171446	172624	+			KAG5488132.1	hypothetical protein			LSCM1_08199	1179		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	171446	172624	+	KAG5488132.1			hypothetical protein			LSCM1_08199	1179	392	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	173259	175118	+							LSCM1_08200	1860		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	173259	175118	+			KAG5488133.1	hypothetical protein			LSCM1_08200	1860		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	173259	175118	+	KAG5488133.1			hypothetical protein			LSCM1_08200	1860	619	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	176637	179480	+							LSCM1_08201	2844		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	176637	179480	+			KAG5488134.1	hypothetical protein			LSCM1_08201	2844		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	176637	179480	+	KAG5488134.1			hypothetical protein			LSCM1_08201	2844	947	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	180901	184176	+							LSCM1_08202	3276		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	180901	184176	+			KAG5488135.1	hypothetical protein			LSCM1_08202	3276		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	180901	184176	+	KAG5488135.1			hypothetical protein			LSCM1_08202	3276	1091	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	185007	186509	+							LSCM1_08203	1503		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	185007	186509	+			KAG5488136.1	hypothetical protein			LSCM1_08203	1503		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	185007	186509	+	KAG5488136.1			hypothetical protein			LSCM1_08203	1503	500	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	192628	193461	+							LSCM1_08205	834		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	192628	193461	+			KAG5488137.1	hypothetical protein			LSCM1_08205	834		
