# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	22773	23465	-	AIN95109.1			hypothetical protein			LPMP_010080	693	230	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	24995	25813	-							LPMP_010090	819		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	24995	25813	-			AIN95110.1	thymidylate kinase, putative			LPMP_010090	819		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	24995	25813	-	AIN95110.1			thymidylate kinase, putative			LPMP_010090	819	272	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	26545	27507	-							LPMP_010100	963		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	26545	27507	-			AIN95111.1	galactoside 2-alpha-L-fucosyltransferase, putative			LPMP_010100	963		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	26545	27507	-	AIN95111.1			galactoside 2-alpha-L-fucosyltransferase, putative			LPMP_010100	963	320	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	28866	29453	-							LPMP_010110	588		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	28866	29453	-			AIN95112.1	glutaredoxin-like protein			LPMP_010110	588		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	28866	29453	-	AIN95112.1			glutaredoxin-like protein			LPMP_010110	588	195	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	30895	32616	-							LPMP_010120	1722		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	30895	32616	-			AIN95113.1	hypothetical protein			LPMP_010120	1722		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	30895	32616	-	AIN95113.1			hypothetical protein			LPMP_010120	1722	573	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	34356	35450	-							LPMP_010130	1095		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	34356	35450	-			AIN95114.1	hypothetical protein			LPMP_010130	1095		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	34356	35450	-	AIN95114.1			hypothetical protein			LPMP_010130	1095	364	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	37655	37903	-							LPMP_010140	249		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	37655	37903	-			AIN95115.1	hypothetical protein			LPMP_010140	249		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	37655	37903	-	AIN95115.1			hypothetical protein			LPMP_010140	249	82	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	38607	38957	-							LPMP_010150	351		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	38607	38957	-			AIN95116.1	hypothetical protein			LPMP_010150	351		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	38607	38957	-	AIN95116.1			hypothetical protein			LPMP_010150	351	116	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	39807	40049	-							LPMP_010160	243		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	39807	40049	-			AIN95117.1	small nuclear ribonucleoprotein, putative			LPMP_010160	243		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	39807	40049	-	AIN95117.1			small nuclear ribonucleoprotein, putative			LPMP_010160	243	80	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	42325	43725	-							LPMP_010170	1401		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	42325	43725	-			AIN95118.1	hypothetical protein			LPMP_010170	1401		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	42325	43725	-	AIN95118.1			hypothetical protein			LPMP_010170	1401	466	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	44980	47286	-							LPMP_010180	2307		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	44980	47286	-			AIN95119.1	CLC-type chloride channel, putative			LPMP_010180	2307		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	44980	47286	-	AIN95119.1			CLC-type chloride channel, putative			LPMP_010180	2307	768	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	48354	48932	-							LPMP_010190	579		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	48354	48932	-			AIN95120.1	hypothetical protein			LPMP_010190	579		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	48354	48932	-	AIN95120.1			hypothetical protein			LPMP_010190	579	192	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	50232	51032	-							LPMP_010200	801		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	50232	51032	-			AIN95121.1	phosphotyrosine protein phosphatase, putative			LPMP_010200	801		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	50232	51032	-	AIN95121.1			phosphotyrosine protein phosphatase, putative			LPMP_010200	801	266	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	51749	54409	-							LPMP_010210	2661		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	51749	54409	-			AIN95122.1	hypothetical protein			LPMP_010210	2661		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	51749	54409	-	AIN95122.1			hypothetical protein			LPMP_010210	2661	886	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	58631	59644	-							LPMP_010220	1014		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	58631	59644	-			AIN95123.1	cyclophilin 12, putative			LPMP_010220	1014		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	58631	59644	-	AIN95123.1			cyclophilin 12, putative			LPMP_010220	1014	337	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	61098	61514	-							LPMP_010230	417		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	61098	61514	-			AIN95124.1	hypothetical protein			LPMP_010230	417		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	61098	61514	-	AIN95124.1			hypothetical protein			LPMP_010230	417	138	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	62724	64922	-							LPMP_010240	2199		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	62724	64922	-			AIN95125.1	DNA excision/repair protein SNF2, putative			LPMP_010240	2199		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	62724	64922	-	AIN95125.1			DNA excision/repair protein SNF2, putative			LPMP_010240	2199	732	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	66242	68734	-							LPMP_010250	2493		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	66242	68734	-			AIN95126.1	hypothetical protein			LPMP_010250	2493		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	66242	68734	-	AIN95126.1			hypothetical protein			LPMP_010250	2493	830	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	70315	71190	-							LPMP_010260	876		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	70315	71190	-			AIN95127.1	hypothetical protein			LPMP_010260	876		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	70315	71190	-	AIN95127.1			hypothetical protein			LPMP_010260	876	291	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	72438	72761	-							LPMP_010270	324		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	72438	72761	-			AIN95128.1	thioredoxin, putative			LPMP_010270	324		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	72438	72761	-	AIN95128.1			thioredoxin, putative			LPMP_010270	324	107	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	74539	75780	-							LPMP_010280	1242		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	74539	75780	-			AIN95129.1	pseudouridylate synthase-like protein			LPMP_010280	1242		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	74539	75780	-	AIN95129.1			pseudouridylate synthase-like protein			LPMP_010280	1242	413	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	77472	77990	-							LPMP_010290	519		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	77472	77990	-			AIN95130.1	hypothetical protein			LPMP_010290	519		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	77472	77990	-	AIN95130.1			hypothetical protein			LPMP_010290	519	172	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	78766	78945	-							LPMP_010300	180		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	78766	78945	-			AIN95131.1	hypothetical protein			LPMP_010300	180		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	78766	78945	-	AIN95131.1			hypothetical protein			LPMP_010300	180	59	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	79510	80673	-							LPMP_010310	1164		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	79510	80673	-			AIN95132.1	acidocalcisomal exopolyphosphatase, putative			LPMP_010310	1164		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	79510	80673	-	AIN95132.1			acidocalcisomal exopolyphosphatase, putative			LPMP_010310	1164	387	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	81011	81463	-							LPMP_010320	453		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	81011	81463	-			AIN95133.1	hypothetical protein			LPMP_010320	453		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	81011	81463	-	AIN95133.1			hypothetical protein			LPMP_010320	453	150	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	82607	83347	+							LPMP_010330	741		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	82607	83347	+			AIN95134.1	poly(A) export protein, putative			LPMP_010330	741		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	82607	83347	+	AIN95134.1			poly(A) export protein, putative			LPMP_010330	741	246	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	83758	84393	+							LPMP_010340	636		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	83758	84393	+			AIN95135.1	hypothetical protein			LPMP_010340	636		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	83758	84393	+	AIN95135.1			hypothetical protein			LPMP_010340	636	211	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	85004	85297	+							LPMP_010350	294		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	85004	85297	+			AIN95136.1	mitochondrial pyruvate carrier protein, putative			LPMP_010350	294		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	85004	85297	+	AIN95136.1			mitochondrial pyruvate carrier protein, putative			LPMP_010350	294	97	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	86295	87071	+							LPMP_010360	777		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	86295	87071	+			AIN95137.1	hypothetical protein			LPMP_010360	777		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	86295	87071	+	AIN95137.1			hypothetical protein			LPMP_010360	777	258	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	90220	92439	+							LPMP_010370	2220		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	90220	92439	+			AIN95138.1	hypothetical protein			LPMP_010370	2220		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	90220	92439	+	AIN95138.1			hypothetical protein			LPMP_010370	2220	739	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	93452	93877	+							LPMP_010380	426		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	93452	93877	+			AIN95139.1	hypothetical protein			LPMP_010380	426		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	93452	93877	+	AIN95139.1			hypothetical protein			LPMP_010380	426	141	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	95124	95690	+							LPMP_010390	567		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	95124	95690	+			AIN95140.1	hypothetical protein			LPMP_010390	567		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	95124	95690	+	AIN95140.1			hypothetical protein			LPMP_010390	567	188	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	96278	98755	+							LPMP_010400	2478		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	96278	98755	+			AIN95141.1	hypothetical protein			LPMP_010400	2478		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	96278	98755	+	AIN95141.1			hypothetical protein			LPMP_010400	2478	825	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	99604	102048	+							LPMP_010410	2445		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	99604	102048	+			AIN95142.1	hypothetical protein			LPMP_010410	2445		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	99604	102048	+	AIN95142.1			hypothetical protein			LPMP_010410	2445	814	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	103241	105040	+							LPMP_010420	1800		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	103241	105040	+			AIN95143.1	hypothetical protein			LPMP_010420	1800		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	103241	105040	+	AIN95143.1			hypothetical protein			LPMP_010420	1800	599	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	105765	106367	+							LPMP_010430	603		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	105765	106367	+			AIN95144.1	ribosomal protein S7, putative			LPMP_010430	603		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	105765	106367	+	AIN95144.1			ribosomal protein S7, putative			LPMP_010430	603	200	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	109623	111530	+							LPMP_010440	1908		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	109623	111530	+			AIN95145.1	hypothetical protein			LPMP_010440	1908		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	109623	111530	+	AIN95145.1			hypothetical protein			LPMP_010440	1908	635	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	112803	114557	+							LPMP_010450	1755		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	112803	114557	+			AIN95146.1	hypothetical protein			LPMP_010450	1755		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	112803	114557	+	AIN95146.1			hypothetical protein			LPMP_010450	1755	584	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	118208	118876	+							LPMP_010460	669		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	118208	118876	+			AIN95147.1	alpha/beta-hydrolase-like protein			LPMP_010460	669		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	118208	118876	+	AIN95147.1			alpha/beta-hydrolase-like protein			LPMP_010460	669	222	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	121631	126010	+							LPMP_010470	4380		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	121631	126010	+			AIN95148.1	hypothetical protein			LPMP_010470	4380		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	121631	126010	+	AIN95148.1			hypothetical protein			LPMP_010470	4380	1459	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	131458	133548	+							LPMP_010480	2091		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	131458	133548	+			AIN95149.1	fatty acyl CoA syntetase 1, putative			LPMP_010480	2091		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	131458	133548	+	AIN95149.1			fatty acyl CoA syntetase 1, putative			LPMP_010480	2091	696	
gene	pseudogene	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	134553	135914	+							LPMP_010490	1362		pseudo
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	137594	138691	+							LPMP_010500	1098		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	137594	138691	+			AIN95150.1	beta eliminating lyase, putative			LPMP_010500	1098		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	137594	138691	+	AIN95150.1			beta eliminating lyase, putative			LPMP_010500	1098	365	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	140064	142160	+							LPMP_010510	2097		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	140064	142160	+			AIN95151.1	long-chain-fatty-acid-CoA ligase, putative			LPMP_010510	2097		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	140064	142160	+	AIN95151.1			long-chain-fatty-acid-CoA ligase, putative			LPMP_010510	2097	698	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	142895	145039	+							LPMP_010520	2145		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	142895	145039	+			AIN95152.1	long-chain-fatty-acid-CoA ligase, putative			LPMP_010520	2145		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	142895	145039	+	AIN95152.1			long-chain-fatty-acid-CoA ligase, putative			LPMP_010520	2145	714	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	150239	154987	+							LPMP_010530	4749		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	150239	154987	+			AIN95153.1	long-chain-fatty-acid-CoA ligase, putative			LPMP_010530	4749		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	150239	154987	+	AIN95153.1			long-chain-fatty-acid-CoA ligase, putative			LPMP_010530	4749	1582	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	156097	158229	+							LPMP_010540	2133		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	156097	158229	+			AIN95154.1	hypothetical protein			LPMP_010540	2133		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	156097	158229	+	AIN95154.1			hypothetical protein			LPMP_010540	2133	710	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	159984	161309	+							LPMP_010550	1326		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	159984	161309	+			AIN95155.1	hypothetical protein			LPMP_010550	1326		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	159984	161309	+	AIN95155.1			hypothetical protein			LPMP_010550	1326	441	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	162570	164162	+							LPMP_010560	1593		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	162570	164162	+			AIN95156.1	hypothetical protein			LPMP_010560	1593		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	162570	164162	+	AIN95156.1			hypothetical protein			LPMP_010560	1593	530	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	164784	165764	+							LPMP_010570	981		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	164784	165764	+			AIN95157.1	tricarboxylate carrier, putative			LPMP_010570	981		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	164784	165764	+	AIN95157.1			tricarboxylate carrier, putative			LPMP_010570	981	326	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	166460	169339	+							LPMP_010580	2880		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	166460	169339	+			AIN95158.1	hypothetical protein			LPMP_010580	2880		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	166460	169339	+	AIN95158.1			hypothetical protein			LPMP_010580	2880	959	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	171663	172937	+							LPMP_010590	1275		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	171663	172937	+			AIN95159.1	mitochondrial RNA editing ligase 1			LPMP_010590	1275		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	171663	172937	+	AIN95159.1			mitochondrial RNA editing ligase 1			LPMP_010590	1275	424	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	174278	179620	+							LPMP_010600	5343		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	174278	179620	+			AIN95160.1	hypothetical protein			LPMP_010600	5343		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	174278	179620	+	AIN95160.1			hypothetical protein			LPMP_010600	5343	1780	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	180411	181676	+							LPMP_010610	1266		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	180411	181676	+			AIN95161.1	DNA-damage inducible protein DDI1-like protein			LPMP_010610	1266		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	180411	181676	+	AIN95161.1			DNA-damage inducible protein DDI1-like protein			LPMP_010610	1266	421	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	182184	184037	+							LPMP_010620	1854		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	182184	184037	+			AIN95162.1	hypothetical protein			LPMP_010620	1854		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	182184	184037	+	AIN95162.1			hypothetical protein			LPMP_010620	1854	617	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	185992	188934	+							LPMP_010630	2943		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	185992	188934	+			AIN95163.1	hypothetical protein			LPMP_010630	2943		partial
